t	moyenne BV
18264	0
18265	33,3333333333
18266	33,9166666667
18267	22,1666666667
18268	31,4166666667
18269	0
18270	0
18271	0
18272	0
18273	1,4166666667
18274	4
18275	2,5833333333
18276	0,8333333333
18277	4,8333333333
18278	28,4166666667
18279	84,1666666667
18280	2,5
18281	0
18282	0,9166666667
18283	0,25
18284	0
18285	0
18286	0
18287	0,0833333333
18288	0,3333333333
18289	0,1666666667
18290	1,5
18291	4,0833333333
18292	0
18293	38,9166666667
18294	19,5
18295	19,8333333333
18296	7,25
18297	85,5
18298	26,3333333333
18299	71
18300	46,1666666667
18301	34,9166666667
18302	58,25
18303	154,75
18304	69,3333333333
18305	28,8333333333
18306	17,8333333333
18307	65,3333333333
18308	28,75
18309	8,9166666667
18310	0
18311	0
18312	0
18313	5
18314	90,9166666667
18315	13,9166666667
18316	0
18317	28,9166666667
18318	22,8333333333
18319	99
18320	10,8333333333
18321	2,9166666667
18322	0
18323	0
18324	0
18325	0
18326	0,5833333333
18327	0
18328	0
18329	0
18330	0
18331	0,3333333333
18332	1,5833333333
18333	0
18334	12,25
18335	1
18336	1,3333333333
18337	0,25
18338	9,8333333333
18339	95,8333333333
18340	8,25
18341	0,6666666667
18342	33,4166666667
18343	36,9166666667
18344	0
18345	9,75
18346	0,1666666667
18347	0
18348	0
18349	0
18350	0
18351	0,3333333333
18352	0,0833333333
18353	0,0833333333
18354	14,4166666667
18355	76,0833333333
18356	23,3333333333
18357	7,8333333333
18358	2,0833333333
18359	0
18360	0
18361	3,5
18362	31,4166666667
18363	66
18364	21,25
18365	36,4166666667
18366	11,4166666667
18367	0
18368	9,3333333333
18369	0,1666666667
18370	37,6666666667
18371	108,0833333333
18372	12,9166666667
18373	15,25
18374	17,25
18375	10,5833333333
18376	24,3333333333
18377	53,75
18378	64,5
18379	113,25
18380	31,1666666667
18381	25,0833333333
18382	7,6666666667
18383	0
18384	0
18385	9,5833333333
18386	0
18387	3
18388	0
18389	14,8333333333
18390	12,5833333333
18391	3,5833333333
18392	4,75
18393	16,6666666667
18394	0
18395	0
18396	0
18397	0
18398	0,6666666667
18399	0
18400	61,25
18401	67,6666666667
18402	35,3333333333
18403	48,3333333333
18404	85,4166666667
18405	13,25
18406	27,4166666667
18407	32,9166666667
18408	25,0833333333
18409	100,25
18410	79,4166666667
18411	55,4166666667
18412	0
18413	0
18414	4,4166666667
18415	38,5833333333
18416	15,9166666667
18417	0
18418	0
18419	0
18420	9
18421	12
18422	6,0833333333
18423	1,0833333333
18424	0
18425	0,0833333333
18426	16,4166666667
18427	52,75
18428	21
18429	38,5
18430	26,4166666667
18431	5,6666666667
18432	0,4166666667
18433	9,75
18434	60,8333333333
18435	50,5
18436	10,25
18437	26,9166666667
18438	0,3333333333
18439	8,5
18440	0
18441	0
18442	0
18443	0
18444	0,75
18445	4,6666666667
18446	4,5833333333
18447	13,25
18448	153,8333333333
18449	56
18450	28,5833333333
18451	3,4166666667
18452	0
18453	45,8333333333
18454	8,6666666667
18455	24,75
18456	0
18457	49,5
18458	83,75
18459	0,5
18460	10,9166666667
18461	0
18462	0
18463	0
18464	0
18465	1
18466	23,25
18467	27,9166666667
18468	0
18469	0,25
18470	85,3333333333
18471	12,4166666667
18472	10,4166666667
18473	0,5833333333
18474	8,25
18475	13,25
18476	8,5
18477	40,4166666667
18478	40,25
18479	3,5
18480	0
18481	0
18482	0
18483	0
18484	23,5833333333
18485	81,1666666667
18486	0
18487	0
18488	5,4166666667
18489	2,1666666667
18490	18,0833333333
18491	32,0833333333
18492	49
18493	19,5833333333
18494	6,5833333333
18495	0
18496	16,5833333333
18497	21,0833333333
18498	66,25
18499	19,75
18500	1
18501	17,25
18502	40,0833333333
18503	83,1666666667
18504	3,0833333333
18505	1,8333333333
18506	125,3333333333
18507	20,5833333333
18508	8,5
18509	22,0833333333
18510	5,9166666667
18511	58,25
18512	2,3333333333
18513	41,8333333333
18514	27,5
18515	56,1666666667
18516	2,6666666667
18517	1,5
18518	0
18519	0
18520	113,1666666667
18521	109,9166666667
18522	14,6666666667
18523	8,0833333333
18524	28,9166666667
18525	124,8333333333
18526	53,4166666667
18527	43,1666666667
18528	18,9166666667
18529	3,25
18530	4,6666666667
18531	17,8333333333
18532	23,5833333333
18533	0,75
18534	7,4166666667
18535	4,6666666667
18536	14,9166666667
18537	11,1666666667
18538	39,5833333333
18539	14
18540	0
18541	0
18542	0
18543	0
18544	30,6666666667
18545	20,5
18546	22,4166666667
18547	7
18548	0
18549	1,8333333333
18550	12,25
18551	10,3333333333
18552	1
18553	1,4166666667
18554	0,9166666667
18555	0
18556	0
18557	0
18558	0,0833333333
18559	7,9166666667
18560	0,0833333333
18561	0
18562	0,1666666667
18563	4,8333333333
18564	0,5
18565	8,9166666667
18566	9,8333333333
18567	1,8333333333
18568	42,1666666667
18569	104,5833333333
18570	57,25
18571	13
18572	3,4166666667
18573	0,25
18574	0,5833333333
18575	0
18576	9,75
18577	55,5833333333
18578	37,4166666667
18579	108,6666666667
18580	85,6666666667
18581	70,5833333333
18582	48,4166666667
18583	56,9166666667
18584	17,75
18585	14,5
18586	58,25
18587	75,3333333333
18588	85,9166666667
18589	19,4166666667
18590	29,1666666667
18591	25,25
18592	63,3333333333
18593	18,25
18594	17,4166666667
18595	29,9166666667
18596	80,25
18597	0
18598	79,4166666667
18599	192,5
18600	42,9166666667
18601	7,9166666667
18602	1,25
18603	0
18604	63,5833333333
18605	1,0833333333
18606	3,5833333333
18607	105
18608	42,5
18609	38,9166666667
18610	24,1666666667
18611	9,0833333333
18612	44,8333333333
18613	14,9166666667
18614	49,9166666667
18615	49,1666666667
18616	0,8333333333
18617	0,25
18618	0,1666666667
18619	0,25
18620	0
18621	0,3333333333
18622	12,6666666667
18623	35,5
18624	1,25
18625	0
18626	0,6666666667
18627	3,6666666667
18628	27,0833333333
18629	45,0833333333
18630	27,0833333333
18631	2,5833333333
18632	33,3333333333
18633	5,3333333333
18634	11,1666666667
18635	11,5
18636	61,4166666667
18637	4
18638	0,5
18639	69,9166666667
18640	13,0833333333
18641	13,4166666667
