sexe	poi	tai

h	60	170

f	57	169

f	51	172

f	55	174

f	50	168

f	50	161

f	48	162

h	72	189

f	52	160

h	64	175

f	53	165

h	72	164

h	61	175

h	78	184

h	68	178

f	51	158

f	53	164

h	79	179

h	74	182

h	62	174

f	49	158

f	50	163

h	74	172

h	80	185

f	53	170

h	73	178

h	70	180

h	72	189

f	70	172

f	62	174

h	77	200

h	70	178

h	76	178

f	51	168

f	52	170

f	57	160

f	53	163

f	55	168

f	66	172

h	65	175

h	75	180

f	50	162

f	53	177

h	55	169

h	55	173

h	72	182

h	75	183

h	73	184

h	71	181

h	66	180

h	71	178

h	79	178

h	62	168

f	47	161

h	73	171

h	72	180

h	60	174

h	67	175

h	85	182

h	73	181

h	82	188

h	86	182

h	85	189

h	65	178

f	47	150

h	74	186

